name,gps_point,type,area,short_name
新区大道（南侧车库和落客平台分流鼻）,"106.439102,29.496814",卡口,西站南北循环,红1
北循环道（北侧车库与长途车入口通道分流鼻-往北侧车库方向）,"106.438166,29.505109",卡口,西站南北循环,红2
北循环道（北侧车库与长途车入口通道分流鼻-往长途车入口方向）,"106.438268,29.505137",卡口,西站南北循环,红3
南循环道（南落客平台东侧汇流鼻）,"106.437539,29.499118",卡口,西站南北循环,红4
南循环道（南落客平台西侧分流鼻-往出站方向）,"106.433869,29.49966",卡口,西站南北循环,红5
南循环道（南落客平台西侧分流鼻-往北落客平台方向）,"106.4338,29.499721",卡口,西站南北循环,红6
南循环道（公交车与南侧车库分流鼻）,"106.439175,29.496831",卡口,西站南北循环,红7
北循环往进北落客平台方向（北循环道西段）,"106.433338,29.502812",卡口,西站南北循环,红8
北循环道（南循环道与凤中路分流鼻-往凤中路方向）,"106.437828,29.501677",卡口,西站南北循环,红9
北循环道（南循环道与凤中路分流鼻-往南循环道方向）,"106.437743,29.501654",卡口,西站南北循环,红10
南循环道隧道（往新区大道方向）,"106.4366,29.494216",卡口,西站南北循环,红11
南循环道（往南落客平台和新区大道分流鼻）,"106.43725,29.496299",卡口,西站南北循环,红12
南循环道隧道入口（往出站方向）,"106.432652,29.495224",卡口,西站南北循环,红13
K匝道（往风中路方向）,"106.440682,29.502961",雷视车检测器,沙坪坝区,蓝1
北循环道交织区（落客平台方向来车）,"106.438924,29.503662",雷视车检测器,沙坪坝区,蓝2
凤中路与金桥路路口（东进口）,"106.44116,29.505748",雷视车检测器,沙坪坝区,蓝3
凤中路与凤腾路路口（西进口）,"106.439093,29.493744",雷视车检测器,沙坪坝区,蓝4
北循环道交织区（北侧车库和内环方向来车）,"106.439072,29.503762",雷视车检测器,沙坪坝区,蓝5
凤中路与H匝道路口（南进口）,"106.441096,29.504059",雷视车检测器,沙坪坝区,蓝6
凤中路与H匝道路口（西进口）,"106.440465,29.504027",雷视车检测器,沙坪坝区,蓝7
凤中路与凤腾路路口（南进口）,"106.439701,29.493247",雷视车检测器,沙坪坝区,蓝8
凤中路与凤腾路路口（东进口）,"106.4402,29.493647",雷视车检测器,沙坪坝区,蓝9
凤中路与凤腾路路口（北进口）,"106.439594,29.493988",雷视车检测器,沙坪坝区,蓝10
凤中路与清水溪路路口（北进口）,"106.440527,29.509928",雷视车检测器,沙坪坝区,蓝11
凤中路与金桥路路口（南进口外侧2车道）,"106.441112,29.505665",雷视车检测器,沙坪坝区,蓝12
凤中路与金桥路路口（北进口）,"106.440715,29.506272",雷视车检测器,沙坪坝区,蓝13
南侧车库出口与公交车出口汇流鼻,"106.437512,29.496654",雷视车检测器,沙坪坝区,蓝14
凤中路与新区大道路口（南进口）,"106.440203,29.495261",雷视车检测器,沙坪坝区,蓝15
凤中路与新区大道路口（北进口）,"106.440396,29.497024",雷视车检测器,沙坪坝区,蓝16
凤中路与清水溪路口（南进口）,"106.440704,29.509596",雷视车检测器,沙坪坝区,蓝17
南循环道（出租车出口通道）,"106.438691,29.496686",雷视车检测器,沙坪坝区,蓝18
新区大道下南循环道匝道,"106.437441,29.496676",雷视车检测器,沙坪坝区,蓝19
凤中路与H匝道（北进口）,"106.440731,29.504521",雷视车检测器,沙坪坝区,蓝20
凤中路与金桥路路口（南进口内侧3车道）,"106.441021,29.505693",雷视车检测器,沙坪坝区,蓝21
凤中路与新区大道立交东进口（往R匝道方向）,"106.441835,29.496956",新增卡口,沙坪坝区,蓝22
凤中路与新区大道立交东进口（往南落客平台方向）,"106.441877,29.49689",新增卡口,沙坪坝区,蓝23
凤中路与新区大道立交东出口,"106.441915,29.496755",新增卡口,沙坪坝区,蓝24
内环下道（北侧车库与北落客平台分流鼻）,"106.439939,29.507024",新增卡口,沙坪坝区,蓝25
清水溪路（北侧车库与北落客平台分流鼻）,"106.437938,29.507388",新增卡口,沙坪坝区,蓝26
C1路北侧车库出口,"106.438236,29.503381",拟新入车库闸机,沙坪坝区,蓝27
C1路北侧车库入口,"106.438207,29.503419",拟新接入车库闸机,沙坪坝区,蓝28
C5路网约车入口,"106.440209,29.503315",拟新接入车库闸机,沙坪坝区,蓝29
C5路出租车入口,"106.440359,29.50331",拟新接入车库闸机,沙坪坝区,蓝30
C6路网约车出口（往凤中路方向）,"106.441177,29.500967",拟新接入车库闸机,沙坪坝区,蓝31
凤轩路与华祥支路路口（东进口）,"106.437422,29.491205",雷视车检测器,九龙坡区,绿1
凤轩路与华祥支路路口（西进口）,"106.437205,29.491115",雷视车检测器,九龙坡区,绿2
华玉路与凤轩路路口（东进口）,"106.439257,29.491113",雷视车检测器,九龙坡区,绿3
华玉路与凤轩路路口（南进口）,"106.439083,29.490933",雷视车检测器,九龙坡区,绿4
华玉路与凤轩路路口（西进口）,"106.43883,29.491059",雷视车检测器,九龙坡区,绿5
华玉路与凤轩路路口（北进口辅道方向）,"106.439013,29.491311",雷视车检测器,九龙坡区,绿6
华玉路与凤轩路路口（北进口隧道方向）,"106.439094,29.491302",雷视车检测器,九龙坡区,绿7
华玉路与华凯路路口（东进口）,"106.438402,29.48858",雷视车检测器,九龙坡区,绿8
华玉路与华凯路路口（南进口）,"106.438176,29.488444",雷视车检测器,九龙坡区,绿9
华玉路与华凯路路口（西进口）,"106.437994,29.488594",雷视车检测器,九龙坡区,绿10
华玉路与华凯路路口（北进口）,"106.438166,29.488776",雷视车检测器,九龙坡区,绿11
华瑞路与凤腾路路口（北进口）,"106.442415,29.493538",雷视车检测器,九龙坡区,绿12
华瑞路与凤腾路路口（南进口）,"106.442522,29.493305",雷视车检测器,九龙坡区,绿13
华瑞路与凤腾路路口（西进口）,"106.442328,29.493366",雷视车检测器,九龙坡区,绿14
华瑞路与凤轩路路口（南进口）,"106.441443,29.490798",雷视车检测器,九龙坡区,绿15
华瑞路与凤轩路路口（西进口）,"106.441207,29.490873",雷视车检测器,九龙坡区,绿16
华瑞路与凤轩路路口（北进口）,"106.441406,29.490966",雷视车检测器,九龙坡区,绿17
华祥路与凤轩路路口（北进口）,"106.435768,29.491419",雷视车检测器,九龙坡区,绿18
华祥路与凤轩路路口（东进口）,"106.435945,29.491274",雷视车检测器,九龙坡区,绿19
华祥路与凤轩路路口（南进口）,"106.435768,29.491157",雷视车检测器,九龙坡区,绿20
华祥路与华祥支路路口（南进口）,"106.436084,29.492778",雷视车检测器,九龙坡区,绿21
华祥路与华祥支路路口（北进口）,"106.436084,29.492964",雷视车检测器,九龙坡区,绿22
华祥路与华祥支路路口（东进口）,"106.436181,29.492871",雷视车检测器,九龙坡区,绿23
