O_NAME,D_NAME,O_GIS,D_GIS,DISTANCE,PATH_GIS
红1,红4,"106.439102,29.496814","106.437539,29.499118",382,"[[106.439102,29.496816],[106.4381,29.496912],[106.437891,29.496949],[106.437773,29.496987],[106.437665,29.49704],[106.437574,29.49711],[106.437499,29.497196],[106.437451,29.497271],[106.437413,29.497357],[106.437349,29.497507],[106.437445,29.49829],[106.437483,29.498596],[106.437504,29.49887],[106.437526,29.498966],[106.437542,29.499117]]"
红10,红8,"106.437743,29.501654","106.433338,29.502812",1250,"[[106.43775,29.501653],[106.437794,29.502185],[106.437837,29.5027],[106.43788,29.503124],[106.437966,29.503961],[106.438008,29.504374],[106.438084,29.505173],[106.438089,29.505377],[106.438078,29.505538],[106.438051,29.505645],[106.437992,29.505779],[106.437928,29.505876],[106.437858,29.505956],[106.437762,29.506026],[106.43752,29.506171],[106.437311,29.506187],[106.437311,29.506187],[106.43568,29.506326],[106.435546,29.506337],[106.434736,29.50638],[106.434452,29.506358],[106.434334,29.506332],[106.434195,29.506283],[106.434066,29.506208],[106.433975,29.506144],[106.433835,29.505999],[106.433755,29.505897],[106.433706,29.505795],[106.433658,29.50564],[106.43361,29.505302],[106.433449,29.503703],[106.433443,29.503623],[106.433427,29.503472],[106.433352,29.50281]]"
红11,红12,"106.4366,29.494216","106.43725,29.496299",248,"[[106.436598,29.494218],[106.436641,29.49424],[106.436737,29.49431],[106.436898,29.494492],[106.436989,29.494632],[106.437048,29.494755],[106.437096,29.494916],[106.437123,29.495099],[106.43715,29.495378],[106.437241,29.496299]]"
红12,红4,"106.43725,29.496299","106.437539,29.499118",312,"[[106.437241,29.496299],[106.437241,29.496306],[106.437241,29.496306],[106.43729,29.496831],[106.437333,29.497357],[106.437349,29.497507],[106.437445,29.49829],[106.437483,29.498596],[106.437504,29.49887],[106.437526,29.498966],[106.437542,29.499117]]"
红12,蓝24,"106.43725,29.496299","106.441915,29.496755",473,"[[106.437241,29.496299],[106.437241,29.496306],[106.437241,29.496306],[106.437451,29.496541],[106.437547,29.496606],[106.437638,29.496649],[106.437805,29.496697],[106.437928,29.496713],[106.438126,29.496703],[106.438856,29.496643],[106.439296,29.496606],[106.439591,29.496595],[106.440235,29.496568],[106.440626,29.496579],[106.440911,29.496606],[106.44127,29.496654],[106.44191,29.496774]]"
红13,红11,"106.432652,29.495224","106.4366,29.494216",458,"[[106.432669,29.495223],[106.432666,29.495115],[106.432676,29.494954],[106.432725,29.494803],[106.432725,29.494803],[106.432826,29.494605],[106.432928,29.494492],[106.433041,29.494396],[106.433256,29.494278],[106.433433,29.494219],[106.433658,29.494181],[106.434232,29.494128],[106.435546,29.49402],[106.43582,29.494004],[106.43582,29.494004],[106.436217,29.494063],[106.436431,29.494133],[106.436598,29.494218]]"
红13,蓝4,"106.432652,29.495224","106.439121,29.493716",699,"[[106.432669,29.495223],[106.432666,29.495115],[106.432676,29.494954],[106.432725,29.494803],[106.432725,29.494803],[106.432826,29.494605],[106.432928,29.494492],[106.433041,29.494396],[106.433256,29.494278],[106.433433,29.494219],[106.433658,29.494181],[106.434232,29.494128],[106.435546,29.49402],[106.43582,29.494004],[106.43582,29.494004],[106.436442,29.493929],[106.437569,29.493891],[106.438631,29.493779],[106.43913,29.493741]]"
红14,红10,"106.433351,29.501767","106.437743,29.501654",482,"[[106.433366,29.501776],[106.433454,29.50167],[106.433588,29.501573],[106.434227,29.501364],[106.434613,29.501332],[106.434613,29.501332],[106.434827,29.501289],[106.435305,29.501257],[106.435546,29.501235],[106.436254,29.501182],[106.436893,29.501144],[106.437005,29.501182],[106.437467,29.501155],[106.437611,29.501187],[106.437687,29.501241],[106.437719,29.501305],[106.437756,29.501445],[106.437756,29.501445],[106.437746,29.501595],[106.43775,29.501653]]"
红14,红9,"106.433351,29.501767","106.437828,29.501677",486,"[[106.433366,29.501776],[106.433454,29.50167],[106.433588,29.501573],[106.434227,29.501364],[106.434613,29.501332],[106.434613,29.501332],[106.434827,29.501289],[106.435305,29.501257],[106.435546,29.501235],[106.436254,29.501182],[106.436893,29.501144],[106.437005,29.501182],[106.437467,29.501155],[106.437611,29.501187],[106.437687,29.501241],[106.437719,29.501305],[106.437756,29.501445],[106.437756,29.501445],[106.437799,29.50159],[106.43781,29.501678]]"
红15,红13,"106.433228,29.501711","106.432652,29.495224",721,"[[106.433231,29.50171],[106.433003,29.499208],[106.432966,29.498537],[106.432945,29.49829],[106.432875,29.497368],[106.43287,29.496917],[106.432784,29.496408],[106.432671,29.495297],[106.432669,29.495223]]"
